b || 30.13 | 8.956 | 0.8801 | 2.257 | 2.036 | 7.276 | 2.433 | 9.95 | 3.452 | -2.406 | 167.5 | 3.632 | 3.632 | 0.0 | 0.1983 | 0.0 | 0.01653 | 0.2672 | 0.06336 | 0.1873 | 0.3168 | 0.0854 | 
b || 30.63 | 8.351 | 0.8322 | 2.281 | 1.46 | 6.965 | 2.037 | 6.438 | 2.305 | -4.172 | 166.1 | -19.01 | -19.01 | 0.01101 | 0.1652 | 0.0 | 0.1388 | 0.1894 | 0.05066 | 0.1982 | 0.2731 | 0.1189 | 
b || 29.91 | 7.717 | 0.8575 | 2.232 | 1.684 | 7.304 | 2.326 | 8.958 | 3.007 | -3.422 | 161.3 | -10.99 | -10.99 | 0.0 | 0.1354 | 0.0 | 0.1271 | 0.2127 | 0.06354 | 0.2182 | 0.3177 | 0.08564 | 
b || 29.45 | 9.105 | 0.911 | 2.347 | 2.771 | 6.971 | 2.105 | 8.061 | 3.429 | 0.1229 | 172.5 | -1.464 | -1.464 | 0.0 | 0.1719 | 0.0 | 0.0 | 0.3125 | 0.05 | 0.1125 | 0.3531 | 0.1094 | 
b || 30.89 | 11.78 | 0.8835 | 2.176 | 1.94 | 7.886 | 2.792 | 12.95 | 3.747 | -1.966 | 168.2 | 13.28 | 13.28 | 0.0 | 0.1615 | 0.0 | 0.01026 | 0.2462 | 0.06154 | 0.1641 | 0.3923 | 0.08974 | 
b || 29.34 | 14.92 | 0.8421 | 2.218 | 1.484 | 4.864 | 1.688 | 4.837 | 2.023 | -0.04304 | 156.7 | 18.29 | 18.29 | 0.0 | 0.1897 | 0.0 | 0.04433 | 0.2635 | 0.0936 | 0.1281 | 0.3325 | 0.05172 | 
b || 25.81 | 11.9 | 0.8699 | 2.15 | 1.712 | 5.214 | 1.048 | 2.332 | 1.127 | 0.7473 | 132.8 | 14.47 | 14.47 | 0.0 | 0.1814 | 0.0 | 0.0 | 0.2837 | 0.05116 | 0.1023 | 0.3884 | 0.09302 | 
b || 28.07 | 11.74 | 0.8774 | 2.554 | 2.555 | 7.546 | 2.101 | 8.342 | 3.112 | -0.6608 | 161.2 | 24.38 | 24.38 | 0.0 | 0.2621 | 0.0 | 0.002545 | 0.285 | 0.08651 | 0.145 | 0.2748 | 0.04071 | 
b || 26.16 | 15.32 | 0.8043 | 2.021 | 0.9329 | 4.733 | 0.5238 | 0.5197 | 0.1596 | 0.6404 | 123.9 | 24.16 | 24.16 | 0.0 | 0.2403 | 0.0 | 0.0 | 0.2791 | 0.1432 | 0.1165 | 0.216 | 0.09466 | 
b || 24.09 | 13.31 | 0.8662 | 2.155 | 1.673 | 3.038 | 0.1331 | 0.07196 | 0.1062 | 0.04458 | 145.3 | 17.9 | 17.9 | 0.0 | 0.2295 | 0.0 | 0.0 | 0.343 | 0.0628 | 0.07005 | 0.3043 | 0.07246 | 
